SRC_ID,Segment,8_name,12_code,TotDASqKm,slope,length,wbody,s_order,Stream Type,Bedform,Ph2SedReg,Class,ElevDS_m,L_m,DA      _sqkm,W_reg      _m,W_Ph2      _m,W_rat,D_reg     _m,D_mn     _m,D_rat,V_mps,Rh_m,D95_mm,D84_mm,D95toD50,D84toD50,TSP,SSPup,SSPcr_Soar_D84,SSPcr_Lea_D84,logValue_Lea,tau_cr_D84,S,VC,VC_rat,ER,WtoD,IR,d50_mm,d84_d16,nBars,nFCs,pArmor,SSP,SSP_bal,SSPcr_rat_Soar,SSP_exc_Soar,SSPcr_rat_Lea,SSP_exc_Lea,RR,SSPtoD50,SSPfrXSsprdsht,Differen_SSP,RPD_SSP
1,118_M15T1.03A,blackconnecticut,0504,73.9,0.00070028,435.2,FALSE,1,D4,Braided,DEP,6,153.0,435.2,73.9,17.4,17.4,1.0,0.800,0.800,1,,,148.9,106.6,3.3,2.3,124.1,67.4,245.6,156,1589.9,41.6,0.070,8.7,0.6,99.0,99.0,1.0,45.7,105.9,0.0,0.0,0,7.1,0.11,0.03,-238.5073583,0.05,-148.9,,155.8,0.0,-7.1,-100.0
2,118_M15T1.03B,blackconnecticut,0504,73.6,0.006650246,1237.4,FALSE,1,C4,Riffle Pool,CEFD,5,153.3,1237.4,73.6,17.4,11.7,0.7,0.799,0.856,1.072,1.83,0.80,148.9,106.6,3.3,2.3,1173.8,156.7,166.1,313.2,314.4,78.1,0.665,14.0,2.4,7.8,13.7,1.1,45.7,105.9,18.6,4.0,0.003,67.4,0.43,0.41,-98.66260275,0.22,-245.8,7.52,1476.0,95.6,28.2,41.8
3,118_M15T1.04,blackconnecticut,0504,72.0,0.015682175,1166.1,FALSE,1,A1c,Bedrock,TR,1,161.5,1166.1,72.0,17.2,17.2,1.0,0.794,0.794,1,,,611.9,250.3,6.1,2.5,2701.8,7.1,472.5,1461.4,181.3,233.1,1.568,5.8,0.2,1.7,12.0,1.0,100.3,223.6,0.0,0.0,0,156.7,21.99,0.33,-315.7630599,0.11,-1304.7,,1562.2,0.0,-156.7,-100.0
4,118_M15T1.05-,blackconnecticut,0504,61.7,0.000785546,1940,FALSE,1,E5,Dune Ripple,CEFD,5,179.8,1940.0,61.7,16.1,12.5,0.8,0.758,1.125,1.484,1.52,1.02,5.9,3.4,6.7,3.9,114.8,5.9,1.1,1,2417.8,1.4,0.079,36.8,0.8,7.3,11.1,1.0,0.9,3.3,21.1,0.0,0.03,7.1,1.21,6.66,6.054284579,7.23,6.1,299.52,8081.5,11.9,4.8,67.7
5,118_M15T1.06A,blackconnecticut,0504,54.0,0.000706964,862.2,FALSE,1,E5,Dune Ripple,CEFD,5,181.3,862.2,54.0,15.2,12.6,0.8,0.728,0.951,1.306,1.05,0.90,23.3,14.0,32.6,19.5,89.6,6.7,4.0,9.6,13213,5.5,0.071,48.5,1.3,7.3,13.2,1.0,0.7,13.8,12.8,1.2,0.02,5.9,0.88,1.46,1.865611063,0.62,-3.7,64.53,8233.5,6.6,0.7,11.5
6,118_M15T1.06B,blackconnecticut,0504,53.5,0.000806885,1133.2,FALSE,1,E5,Dune Ripple,FSTCD,4,182.0,1133.2,53.5,15.1,12.6,0.8,0.726,1.122,1.545,0.91,1.04,155.5,59.6,77.8,29.8,101.2,28.1,28.2,92.3,18346,24.2,0.081,36.2,1.0,4.8,11.3,1.6,2.0,59.5,10.6,0.9,0.05,6.7,0.24,0.24,-21.49276654,0.07,-85.6,17.37,3344.2,7.5,0.8,12.1
7,118_M15T1.07-,blackconnecticut,0504,47.7,0.003649635,835.1,FALSE,1,F4,Riffle Pool,FSTCD,4,182.9,835.1,47.7,14.4,18.7,1.3,0.702,0.479,0.682,0.90,0.47,260.5,92.1,5.3,1.9,405.1,92.6,168.4,202.8,387.1,57,0.365,35.7,4.4,1.3,38.1,2.0,49.4,91.7,20.4,4.8,0.16,28.1,0.30,0.17,-140.2343262,0.14,-174.6,5.13,569.9,15.2,-13.0,-46.0
8,118_M15T1.08-,blackconnecticut,0504,47.4,0.012057878,758.3,FALSE,1,F4,Riffle Pool,UST,3,185.9,758.3,47.4,14.3,12.9,0.9,0.700,0.808,1.154,2.13,0.76,284.0,143.5,4.5,2.3,1327.7,103.6,229.4,578.4,199.7,124.1,1.206,8.2,1.2,1.4,16.0,2.2,63.1,108.4,7.9,1.3,0.16,92.6,0.89,0.40,-136.8442875,0.16,-485.8,5.31,1467.7,192.4,99.8,107.8
9,118_M15T1.09-,blackconnecticut,0504,46.5,0.013646288,1116.7,FALSE,1,F4,Plane Bed,UST,3,195.1,1116.7,46.5,14.2,12.6,0.9,0.696,0.649,0.932,1.41,0.63,467.2,285.0,10.6,6.5,1474.5,49.5,369.9,2013.6,518.3,255.3,1.365,7.0,0.4,1.2,19.3,3.2,44.2,274.6,4.5,0.0,0.28,103.6,2.09,0.28,-266.2996237,0.05,-1910,2.21,2346.1,119.5,15.9,15.4
10,118_M15T1.10-,blackconnecticut,0504,31.5,0.008333333,731.5,FALSE,1,F3,Riffle Pool,UST,3,210.3,731.5,31.5,12.0,11.7,1.0,0.620,0.451,0.728,1.05,0.44,198.7,151.1,3.0,2.3,593.6,124.6,269.5,563,262.2,117.9,0.833,15.9,2.1,1.1,25.9,1.8,66.0,122.7,17.8,1.4,0.09,49.5,0.40,0.18,-220.0156178,0.09,-513.5,2.88,749.8,37.2,-12.3,-24.8
